treatment,run_id,network_size,update_found,fitness,num_antagonists,sorts_per_antagonist,network
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,116,165,512.094,32,16,"[(13,7),(3,2),(10,0),(7,0),(11,12),(7,7),(5,11),(10,15),(6,9),(8,12),(5,8),(9,3),(0,11),(0,1),(14,15),(3,8),(6,14),(15,5),(10,0),(9,13),(2,3),(7,14),(4,13),(10,9),(6,9),(12,13),(4,9),(12,4),(0,7),(2,0),(3,11),(15,4),(1,14),(6,12),(8,14),(13,3),(3,5),(13,9),(3,11),(0,4),(1,10),(3,8),(9,8),(6,4),(12,12),(9,4),(7,8),(6,15),(5,6),(14,0),(14,12),(2,14),(11,14),(13,7),(4,3),(9,3),(14,6),(7,14),(5,11),(4,9),(10,3),(15,11),(11,9),(1,15),(2,6),(2,15),(8,3),(11,13),(15,11),(0,7),(12,11),(13,13),(13,8),(9,8),(0,4),(13,11),(6,7),(2,4),(6,14),(10,11),(3,10),(13,13),(6,12),(3,0),(4,5),(3,7),(0,6),(4,1),(6,13),(13,5),(9,11),(8,12),(7,5),(13,9),(7,13),(10,14),(0,4),(12,10),(15,14),(1,2),(13,11),(6,14),(5,15),(3,5),(2,3),(5,6),(8,11),(9,12),(13,9),(9,15),(7,8),(4,5),(8,10),(10,13),(8,10),(13,13)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,115,167,512.102,32,16,"[(13,7),(3,2),(10,0),(7,0),(11,12),(7,7),(5,11),(10,15),(6,9),(8,12),(5,8),(9,3),(0,11),(0,1),(14,15),(3,8),(6,14),(15,5),(10,0),(9,13),(2,3),(7,14),(4,13),(10,9),(6,9),(12,13),(4,9),(12,4),(0,7),(2,0),(3,11),(15,4),(1,14),(6,12),(8,14),(13,3),(3,5),(13,9),(3,11),(0,4),(1,10),(3,8),(9,8),(6,4),(12,12),(9,4),(7,8),(6,15),(5,6),(14,0),(14,12),(2,14),(11,14),(13,7),(4,3),(9,3),(14,6),(7,14),(5,11),(4,9),(10,3),(15,11),(11,9),(1,15),(2,6),(2,15),(8,3),(11,13),(15,11),(0,7),(12,11),(13,13),(13,8),(9,8),(0,4),(13,11),(6,7),(2,4),(6,14),(10,11),(3,10),(6,12),(3,0),(4,5),(3,7),(0,6),(4,1),(6,13),(13,5),(9,11),(8,12),(7,5),(13,9),(7,13),(10,14),(0,4),(12,10),(15,14),(1,2),(13,11),(6,14),(5,15),(3,5),(2,3),(5,6),(8,11),(9,12),(13,9),(9,15),(7,8),(4,5),(8,10),(10,13),(8,10),(13,13)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,114,169,512.109,32,16,"[(13,7),(3,2),(10,0),(7,0),(11,12),(7,7),(5,11),(10,12),(6,9),(5,8),(9,3),(0,11),(0,1),(14,15),(3,8),(6,14),(15,5),(10,0),(9,13),(2,3),(7,14),(4,13),(10,9),(6,9),(12,13),(4,9),(12,4),(0,7),(2,0),(7,8),(3,11),(15,4),(1,14),(6,12),(8,14),(13,3),(3,5),(13,9),(3,11),(0,4),(1,10),(3,8),(9,8),(6,4),(12,12),(9,4),(7,8),(6,15),(5,6),(14,0),(14,12),(2,14),(11,14),(13,7),(4,3),(9,3),(14,6),(7,14),(5,11),(4,9),(10,3),(15,11),(11,9),(1,15),(2,6),(2,15),(8,3),(11,13),(11,15),(15,11),(0,7),(12,11),(13,8),(9,8),(0,4),(13,11),(6,7),(6,14),(10,11),(3,10),(13,13),(6,12),(3,0),(4,5),(3,7),(0,6),(4,1),(6,13),(9,11),(8,12),(7,5),(13,9),(7,13),(10,14),(9,12),(12,10),(15,14),(1,2),(13,11),(6,14),(5,15),(3,5),(2,3),(5,6),(8,11),(0,4),(13,9),(9,15),(7,8),(4,5),(8,10),(10,13),(8,10),(13,13)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,98,502,512.234,32,16,"[(9,8),(13,9),(4,15),(4,12),(0,11),(7,8),(12,1),(1,5),(10,11),(2,12),(14,11),(14,12),(10,15),(12,8),(6,14),(12,5),(9,13),(9,1),(10,9),(13,3),(0,7),(10,2),(12,13),(6,0),(12,4),(3,11),(2,7),(15,3),(15,4),(1,14),(11,14),(6,9),(8,5),(13,9),(10,12),(3,11),(2,1),(1,10),(3,8),(7,9),(9,8),(2,4),(6,15),(0,8),(5,6),(14,0),(14,12),(2,14),(11,14),(12,9),(13,7),(4,3),(7,14),(5,11),(10,3),(15,11),(8,3),(12,13),(0,6),(0,7),(0,4),(9,8),(12,11),(13,11),(6,7),(1,3),(6,14),(14,7),(10,11),(3,10),(6,12),(3,0),(4,5),(0,6),(4,1),(2,1),(6,13),(9,11),(8,12),(7,5),(13,9),(7,13),(0,4),(15,3),(10,14),(12,10),(15,4),(1,2),(13,11),(5,15),(3,5),(5,6),(2,3),(8,11),(13,9),(4,5),(10,13),(8,10)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,92,1499,512.281,32,16,"[(5,13),(9,8),(14,11),(4,5),(2,3),(10,6),(3,6),(7,8),(13,11),(14,0),(2,1),(7,9),(0,15),(10,0),(1,15),(15,8),(12,5),(0,11),(6,5),(8,5),(10,3),(4,12),(12,14),(0,7),(6,7),(9,1),(2,15),(2,0),(2,10),(6,3),(15,3),(15,4),(1,14),(11,14),(6,9),(1,4),(13,9),(10,13),(3,11),(1,10),(7,9),(4,3),(6,15),(9,8),(14,0),(14,12),(1,6),(2,14),(1,2),(11,14),(5,6),(8,3),(7,9),(5,11),(15,11),(12,10),(0,7),(0,4),(9,8),(12,11),(6,7),(10,13),(6,14),(13,11),(3,10),(6,12),(1,10),(3,0),(4,5),(0,6),(4,1),(6,13),(9,11),(8,12),(7,5),(13,9),(7,13),(0,4),(10,14),(15,4),(12,10),(13,11),(1,2),(5,15),(3,5),(5,6),(13,9),(8,11),(2,3),(4,5),(10,13),(8,10)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,90,2094,512.297,32,16,"[(7,5),(15,6),(9,13),(2,12),(3,13),(4,5),(9,12),(11,14),(10,3),(0,3),(11,15),(11,9),(0,13),(1,8),(1,13),(1,10),(3,8),(6,5),(8,5),(2,1),(12,14),(15,4),(0,7),(7,6),(0,11),(6,3),(4,11),(13,11),(2,0),(15,4),(10,4),(11,14),(6,9),(1,4),(6,0),(13,9),(6,15),(1,10),(3,11),(4,3),(12,7),(9,8),(14,0),(14,12),(10,7),(1,14),(11,14),(5,6),(5,2),(7,9),(15,11),(8,3),(12,10),(0,7),(14,3),(0,4),(9,8),(12,11),(6,7),(10,13),(6,14),(13,11),(8,3),(6,12),(3,10),(3,0),(4,5),(9,11),(0,6),(8,12),(6,13),(7,5),(13,9),(7,13),(0,4),(10,14),(15,4),(13,11),(12,10),(5,15),(1,2),(3,5),(5,6),(13,9),(8,11),(2,3),(9,8),(4,5),(10,13),(8,10)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,86,7353,512.328,32,16,"[(8,9),(11,12),(14,13),(15,5),(1,2),(2,9),(12,5),(7,3),(12,8),(10,4),(6,15),(11,14),(13,14),(15,14),(11,0),(6,13),(5,0),(9,0),(7,5),(15,1),(9,3),(10,2),(13,1),(1,8),(12,13),(1,9),(3,14),(4,8),(4,5),(5,3),(2,4),(4,5),(6,15),(5,6),(1,10),(12,7),(8,14),(7,13),(5,12),(0,7),(15,11),(8,7),(14,6),(13,9),(2,11),(1,15),(9,14),(8,3),(15,2),(10,11),(4,13),(0,12),(15,0),(9,11),(6,7),(14,3),(2,12),(6,14),(6,12),(13,9),(11,8),(6,10),(2,6),(9,11),(3,10),(3,4),(5,1),(8,12),(1,15),(4,5),(3,0),(0,0),(0,6),(6,13),(2,15),(7,5),(5,15),(7,13),(0,4),(10,14),(3,5),(13,9),(10,13),(4,5),(8,11),(8,10)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,84,7355,512.344,32,16,"[(8,9),(14,13),(15,5),(1,2),(2,9),(12,5),(7,3),(12,8),(10,4),(15,13),(6,15),(11,14),(13,14),(15,14),(11,0),(5,0),(9,0),(7,5),(15,1),(9,3),(10,2),(13,1),(1,8),(6,13),(1,9),(3,14),(4,8),(4,5),(5,3),(2,4),(4,5),(6,15),(5,6),(1,10),(12,7),(8,14),(7,13),(5,12),(0,7),(15,11),(8,7),(14,6),(13,9),(2,11),(1,15),(9,14),(8,3),(15,2),(10,11),(4,13),(0,12),(15,0),(9,11),(6,7),(14,3),(2,12),(6,14),(6,12),(13,9),(11,8),(6,10),(2,6),(9,11),(3,10),(3,4),(5,1),(8,12),(1,15),(4,5),(3,0),(0,6),(6,13),(2,15),(7,5),(5,15),(7,13),(0,4),(10,14),(3,5),(13,9),(10,13),(4,5),(8,11),(8,10)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,83,10017,512.352,32,16,"[(15,0),(1,14),(7,2),(3,4),(7,13),(8,5),(6,10),(10,4),(12,11),(8,12),(15,3),(7,15),(11,5),(10,0),(2,9),(6,1),(14,13),(7,2),(4,14),(5,6),(13,12),(12,9),(12,0),(2,4),(10,8),(12,3),(13,11),(1,15),(9,0),(2,13),(12,13),(1,8),(5,10),(4,8),(12,10),(5,7),(0,7),(11,3),(15,11),(14,6),(6,7),(1,2),(9,14),(10,4),(0,12),(12,4),(15,2),(8,3),(13,8),(11,3),(15,0),(6,3),(9,11),(2,4),(6,14),(13,9),(6,12),(11,8),(8,12),(9,11),(6,10),(3,10),(3,0),(4,9),(1,15),(4,5),(2,6),(0,6),(2,15),(7,5),(5,15),(3,5),(6,13),(9,11),(0,4),(9,8),(10,14),(4,6),(7,13),(10,13),(4,5),(8,11),(8,10)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,82,33398,512.359,32,16,"[(11,7),(9,11),(10,3),(2,10),(13,2),(11,6),(15,8),(4,0),(4,15),(2,14),(2,3),(0,14),(1,11),(11,7),(13,4),(15,9),(2,9),(5,4),(15,1),(4,6),(8,10),(10,3),(12,8),(0,11),(0,5),(14,3),(7,6),(8,6),(3,7),(2,15),(4,14),(15,12),(3,9),(11,8),(6,7),(6,14),(3,10),(6,12),(5,11),(9,10),(4,11),(1,13),(8,12),(9,11),(3,6),(7,5),(0,3),(2,15),(6,13),(15,4),(2,1),(3,9),(13,8),(5,15),(0,5),(4,7),(3,4),(5,6),(0,2),(8,11),(4,6),(1,2),(2,5),(6,13),(3,5),(2,3),(10,13),(4,7),(12,13),(8,12),(9,7),(6,9),(11,12),(7,11),(4,5),(7,10),(13,14),(8,10),(7,9),(12,13),(5,6),(8,9)]"
