treatment,run_id,network_size,update_found,fitness,num_antagonists,sorts_per_antagonist,network
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1061,114,169,512.109,32,16,"[(13,7),(3,2),(10,0),(7,0),(11,12),(7,7),(5,11),(10,12),(6,9),(5,8),(9,3),(0,11),(0,1),(14,15),(3,8),(6,14),(15,5),(10,0),(9,13),(2,3),(7,14),(4,13),(10,9),(6,9),(12,13),(4,9),(12,4),(0,7),(2,0),(7,8),(3,11),(15,4),(1,14),(6,12),(8,14),(13,3),(3,5),(13,9),(3,11),(0,4),(1,10),(3,8),(9,8),(6,4),(12,12),(9,4),(7,8),(6,15),(5,6),(14,0),(14,12),(2,14),(11,14),(13,7),(4,3),(9,3),(14,6),(7,14),(5,11),(4,9),(10,3),(15,11),(11,9),(1,15),(2,6),(2,15),(8,3),(11,13),(11,15),(15,11),(0,7),(12,11),(13,8),(9,8),(0,4),(13,11),(6,7),(6,14),(10,11),(3,10),(13,13),(6,12),(3,0),(4,5),(3,7),(0,6),(4,1),(6,13),(9,11),(8,12),(7,5),(13,9),(7,13),(10,14),(9,12),(12,10),(15,14),(1,2),(13,11),(6,14),(5,15),(3,5),(2,3),(5,6),(8,11),(0,4),(13,9),(9,15),(7,8),(4,5),(8,10),(10,13),(8,10),(13,13)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1062,62,179765,512.516,32,16,"[(6,5),(9,13),(2,4),(3,12),(11,8),(1,14),(10,15),(13,15),(4,12),(0,7),(12,15),(7,8),(5,14),(0,10),(2,6),(14,8),(3,1),(9,11),(1,11),(8,15),(6,10),(4,13),(0,9),(3,2),(5,7),(0,3),(12,14),(4,5),(7,13),(10,11),(2,9),(8,11),(7,12),(1,6),(1,2),(3,4),(9,6),(12,10),(12,5),(7,6),(13,14),(2,4),(4,12),(8,13),(1,3),(2,3),(5,9),(5,7),(11,14),(12,7),(8,9),(10,6),(6,12),(4,5),(5,6),(9,12),(11,13),(8,10),(7,8),(11,12),(9,10),(3,4)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1063,100,911,512.219,32,16,"[(7,9),(15,10),(14,10),(5,3),(15,0),(14,12),(2,12),(12,10),(10,9),(14,5),(13,11),(5,10),(13,4),(1,6),(6,0),(11,3),(1,8),(7,13),(12,3),(6,5),(3,0),(11,3),(11,7),(1,2),(2,7),(7,13),(2,13),(3,9),(8,4),(7,2),(13,3),(5,12),(6,8),(9,4),(9,10),(4,0),(12,9),(1,14),(11,15),(15,7),(6,14),(5,8),(11,1),(12,2),(7,14),(7,1),(7,5),(14,8),(3,9),(13,3),(5,1),(14,12),(1,13),(13,10),(13,12),(8,15),(15,4),(14,5),(6,8),(15,9),(4,9),(3,14),(0,1),(15,2),(9,3),(3,10),(12,15),(5,11),(2,14),(2,15),(11,8),(3,2),(0,8),(9,7),(3,5),(6,9),(2,11),(0,3),(2,3),(5,12),(11,4),(12,9),(5,8),(10,15),(13,7),(5,3),(2,13),(15,12),(1,6),(12,14),(11,12),(2,15),(4,13),(10,11),(5,8),(6,3),(10,13),(3,15),(6,7),(7,8)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1064,65,149303,512.492,32,16,"[(1,9),(4,6),(11,14),(3,13),(12,10),(0,5),(11,12),(7,8),(7,3),(14,6),(2,15),(2,0),(5,9),(4,1),(12,3),(2,4),(0,1),(1,3),(8,15),(13,10),(0,11),(10,15),(7,11),(1,11),(6,9),(0,2),(8,13),(6,13),(6,11),(4,12),(9,15),(14,5),(4,2),(9,3),(5,10),(10,13),(9,10),(14,8),(5,6),(9,11),(0,7),(13,3),(1,12),(3,14),(1,3),(10,13),(8,12),(4,7),(2,7),(5,8),(6,12),(3,7),(6,8),(10,12),(6,7),(10,11),(1,4),(11,12),(8,9),(9,10),(3,5),(2,4),(5,6),(7,8),(3,4)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1065,64,148118,512.5,32,16,"[(1,13),(14,5),(4,7),(3,15),(2,6),(8,11),(0,9),(7,15),(3,0),(1,14),(10,12),(9,12),(8,10),(6,13),(7,9),(2,4),(5,11),(12,15),(1,8),(6,5),(11,13),(13,15),(4,10),(2,3),(7,6),(0,14),(5,9),(3,8),(10,14),(6,5),(1,2),(0,4),(0,7),(11,12),(5,11),(9,12),(8,4),(3,2),(2,7),(8,7),(4,5),(10,8),(13,14),(8,7),(9,13),(5,9),(0,1),(7,11),(6,7),(12,14),(4,6),(7,5),(1,3),(9,11),(4,10),(12,13),(6,8),(10,6),(2,3),(3,4),(5,10),(9,10),(7,8),(11,12)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1066,108,286,512.156,32,16,"[(5,13),(12,11),(13,6),(4,15),(0,3),(14,13),(7,5),(1,5),(11,3),(5,13),(4,4),(9,2),(13,2),(6,11),(15,2),(7,8),(9,3),(10,12),(1,10),(0,8),(0,5),(3,2),(4,9),(9,3),(11,4),(14,15),(8,12),(14,11),(4,12),(1,0),(6,9),(1,5),(10,9),(6,7),(6,10),(6,1),(15,6),(13,5),(13,10),(3,9),(6,5),(9,15),(2,7),(4,3),(6,4),(12,10),(3,8),(12,6),(15,11),(0,14),(12,2),(3,0),(0,2),(10,6),(14,10),(1,3),(8,5),(0,13),(12,7),(15,13),(7,1),(12,14),(14,4),(8,11),(10,8),(10,4),(6,11),(5,5),(0,9),(15,15),(9,12),(8,15),(14,7),(13,7),(7,10),(4,2),(15,10),(5,12),(5,13),(2,10),(3,4),(4,8),(10,6),(1,12),(2,9),(4,3),(6,13),(7,8),(3,6),(0,4),(3,5),(2,4),(8,13),(12,11),(15,15),(8,15),(0,4),(0,14),(2,9),(12,1),(4,8),(6,7),(3,4),(12,13),(9,15),(10,15),(1,14),(11,15)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1067,63,617615,512.508,32,16,"[(5,12),(6,13),(1,3),(0,2),(8,10),(11,15),(4,14),(3,10),(9,7),(7,14),(0,11),(2,15),(12,13),(14,15),(3,12),(4,9),(10,13),(6,8),(1,5),(1,6),(2,7),(12,14),(11,9),(9,10),(13,15),(5,8),(8,7),(11,9),(10,13),(0,4),(2,5),(3,12),(9,12),(5,9),(3,6),(4,11),(7,13),(7,12),(10,14),(0,1),(13,14),(6,11),(8,9),(12,13),(3,4),(8,11),(9,10),(1,2),(7,11),(2,6),(5,8),(10,11),(7,9),(4,6),(4,5),(1,3),(6,8),(2,3),(9,10),(11,12),(3,4),(5,6),(7,8)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1068,100,1338,512.219,32,16,"[(7,15),(2,8),(1,6),(8,11),(10,7),(15,11),(0,9),(2,4),(5,14),(3,15),(1,1),(0,2),(9,14),(5,7),(12,1),(7,15),(3,13),(8,9),(7,6),(4,9),(7,5),(9,14),(2,0),(6,9),(15,14),(7,12),(13,1),(4,13),(1,5),(10,7),(0,5),(6,13),(9,7),(5,7),(12,3),(11,14),(15,3),(4,2),(2,1),(8,12),(9,2),(14,7),(8,9),(3,13),(4,10),(15,12),(5,11),(0,2),(11,13),(6,1),(1,5),(0,15),(14,13),(6,12),(3,2),(2,1),(15,6),(2,3),(9,10),(12,3),(3,11),(14,10),(0,14),(14,10),(15,2),(1,5),(11,10),(5,15),(3,1),(14,4),(15,14),(8,0),(2,12),(4,2),(8,1),(0,9),(6,2),(14,10),(11,0),(13,14),(7,3),(3,15),(4,6),(13,0),(10,2),(13,1),(7,3),(10,12),(4,5),(2,13),(12,3),(8,7),(11,7),(0,8),(1,11),(2,10),(9,4),(8,12),(3,9),(2,7)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1069,104,371,512.188,32,16,"[(9,12),(11,5),(0,13),(14,15),(12,8),(2,0),(12,2),(9,7),(9,5),(10,8),(14,6),(6,10),(12,11),(3,4),(11,13),(8,1),(0,10),(0,8),(2,5),(3,6),(4,1),(1,15),(9,14),(15,15),(7,5),(3,11),(14,6),(8,11),(6,12),(10,12),(12,5),(14,1),(12,4),(12,2),(2,14),(11,1),(5,15),(7,10),(3,6),(9,12),(0,2),(14,13),(14,11),(11,0),(8,13),(10,0),(8,14),(7,6),(12,10),(9,3),(11,7),(11,3),(11,4),(4,2),(0,3),(6,14),(4,14),(1,0),(10,4),(0,3),(12,7),(8,1),(1,7),(10,12),(13,2),(5,3),(5,0),(6,7),(12,7),(0,13),(2,5),(5,3),(2,10),(0,10),(4,14),(4,0),(12,4),(5,8),(3,12),(7,4),(6,1),(12,12),(9,8),(3,6),(10,4),(1,11),(8,13),(10,11),(11,0),(14,0),(9,1),(4,5),(10,6),(14,9),(12,15),(5,0),(12,11),(11,0),(2,10),(2,4),(3,4),(0,14),(5,10),(8,12)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1070,100,326,512.219,32,16,"[(4,8),(9,2),(3,5),(0,11),(4,0),(2,8),(1,13),(15,1),(4,3),(2,11),(14,5),(10,1),(6,15),(9,13),(14,10),(8,5),(11,15),(15,1),(8,15),(8,0),(14,9),(8,7),(3,11),(9,2),(12,7),(9,12),(3,10),(8,14),(14,10),(2,9),(14,3),(15,10),(10,1),(1,7),(15,9),(4,7),(12,10),(15,12),(12,13),(6,2),(5,13),(6,3),(12,1),(3,4),(2,4),(7,10),(8,3),(5,12),(5,3),(10,11),(4,8),(13,9),(5,2),(0,2),(2,7),(3,10),(10,12),(3,15),(8,2),(13,12),(1,13),(10,2),(15,10),(13,2),(14,1),(3,15),(13,6),(12,7),(15,8),(6,1),(9,2),(11,2),(1,12),(1,9),(7,11),(14,5),(2,15),(1,10),(6,8),(0,3),(6,1),(2,3),(4,13),(2,5),(8,1),(5,3),(11,9),(0,4),(1,14),(1,13),(0,6),(14,10),(2,4),(2,13),(11,12),(12,7),(3,13),(6,13),(7,13),(9,14)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1071,61,386682,512.523,32,16,"[(8,15),(6,14),(11,2),(0,12),(3,10),(7,9),(4,13),(6,11),(2,15),(0,8),(5,1),(3,5),(13,9),(12,14),(11,13),(1,10),(2,5),(1,8),(14,10),(4,7),(8,13),(9,15),(9,14),(10,15),(7,12),(2,7),(7,9),(5,12),(7,8),(6,4),(0,3),(0,6),(13,14),(10,12),(1,4),(3,11),(12,14),(5,9),(3,6),(1,2),(2,6),(4,5),(6,7),(8,11),(10,13),(5,8),(9,11),(4,5),(1,3),(8,10),(10,11),(12,13),(2,3),(4,6),(11,12),(8,9),(5,7),(5,6),(9,10),(7,8),(3,4)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1072,104,533,512.188,32,16,"[(6,8),(13,5),(5,0),(8,14),(3,5),(13,1),(10,12),(12,15),(6,3),(15,5),(2,9),(4,3),(11,9),(11,4),(13,7),(10,12),(13,15),(4,1),(4,10),(2,15),(7,9),(0,14),(0,7),(6,13),(13,8),(15,10),(7,1),(9,3),(8,12),(13,6),(0,15),(2,11),(11,15),(14,5),(13,0),(1,3),(10,12),(9,4),(11,6),(1,14),(1,8),(5,3),(5,8),(2,13),(2,9),(7,1),(1,9),(9,13),(15,13),(4,12),(0,9),(4,9),(8,2),(1,0),(4,7),(3,11),(15,10),(2,14),(6,0),(0,2),(15,8),(3,1),(6,4),(3,6),(0,8),(1,4),(4,0),(9,10),(2,3),(8,1),(12,15),(15,5),(5,14),(5,13),(1,10),(5,10),(15,9),(15,4),(8,2),(1,9),(4,7),(7,5),(4,0),(3,6),(9,5),(0,12),(12,1),(6,9),(10,9),(9,13),(9,12),(9,7),(10,15),(7,1),(14,9),(1,6),(2,3),(5,15),(1,8),(4,10),(6,14),(5,10),(11,15),(9,14)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1073,63,417390,512.508,32,16,"[(12,1),(14,0),(8,9),(7,15),(6,10),(2,4),(11,13),(7,14),(6,12),(3,5),(0,15),(1,10),(5,9),(8,3),(10,15),(3,14),(8,6),(4,13),(4,12),(9,13),(2,11),(2,7),(0,11),(6,0),(5,1),(8,2),(4,3),(13,15),(7,5),(9,10),(12,14),(1,11),(3,1),(10,14),(1,0),(7,2),(4,6),(11,13),(10,11),(13,14),(2,6),(3,9),(9,12),(3,6),(11,13),(5,9),(5,1),(1,9),(7,4),(6,1),(10,12),(1,7),(3,5),(0,9),(0,8),(9,12),(8,10),(2,4),(7,8),(11,12),(9,10),(3,4),(5,6)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1074,122,189,512.047,32,16,"[(13,9),(14,12),(12,3),(13,6),(11,2),(7,6),(0,11),(8,1),(15,4),(12,3),(14,9),(8,11),(12,5),(15,12),(7,8),(12,2),(14,5),(3,4),(2,5),(15,14),(7,11),(10,7),(0,13),(1,12),(7,6),(0,7),(0,13),(3,13),(2,10),(15,8),(7,8),(6,11),(6,12),(1,11),(2,14),(4,9),(11,9),(8,12),(0,2),(1,3),(11,7),(14,2),(1,14),(11,3),(9,0),(3,2),(10,4),(6,14),(8,13),(9,11),(5,12),(1,10),(6,11),(10,0),(12,4),(8,11),(4,8),(14,9),(5,13),(13,12),(7,5),(9,10),(0,15),(5,9),(6,4),(11,4),(11,0),(8,4),(9,10),(8,9),(9,3),(2,5),(8,9),(7,13),(6,5),(12,11),(13,5),(3,5),(13,7),(1,7),(1,12),(12,11),(15,4),(11,14),(11,12),(9,0),(0,7),(4,4),(15,5),(10,14),(15,10),(10,7),(5,15),(4,9),(7,0),(5,12),(7,15),(8,2),(2,6),(10,12),(6,13),(9,13),(12,11),(9,10),(3,8),(2,5),(7,9),(15,14),(0,12),(3,9),(4,6),(12,15),(6,12),(8,9),(9,10),(2,6),(3,5),(5,4),(0,1),(6,7),(13,15),(4,5)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1075,102,1098,512.203,32,16,"[(0,11),(8,6),(8,12),(15,0),(13,3),(7,9),(1,3),(4,1),(7,4),(9,14),(1,10),(15,10),(5,2),(10,2),(5,0),(5,1),(4,6),(2,6),(12,0),(13,5),(1,3),(8,7),(1,9),(15,1),(9,10),(8,4),(5,7),(13,5),(13,15),(10,0),(4,13),(3,0),(15,8),(4,15),(15,1),(7,11),(10,3),(12,1),(14,2),(1,13),(2,3),(6,2),(14,7),(13,15),(5,9),(8,1),(10,11),(0,13),(14,12),(8,5),(1,4),(13,2),(15,11),(12,10),(13,11),(8,12),(9,15),(2,11),(2,3),(15,13),(7,6),(10,9),(15,6),(3,1),(11,6),(14,4),(2,8),(10,14),(14,4),(5,14),(11,13),(2,10),(8,13),(9,7),(7,4),(6,0),(12,14),(1,14),(4,15),(9,7),(12,5),(11,8),(6,10),(0,3),(4,1),(15,11),(1,12),(1,10),(4,10),(10,2),(2,9),(14,3),(3,10),(5,2),(7,9),(8,12),(8,9),(3,6),(4,5),(10,15),(1,3),(2,6)]"
COEVOCL32_POP1024_SPT16_XP005_MUTP090,1076,123,167,512.039,32,16,"[(2,0),(9,10),(12,15),(10,3),(1,9),(12,13),(10,2),(4,0),(4,6),(12,1),(11,7),(13,8),(6,11),(15,2),(5,2),(15,2),(2,11),(0,3),(7,12),(5,9),(11,10),(3,5),(1,0),(11,6),(4,12),(4,8),(15,0),(14,9),(11,4),(7,6),(0,9),(0,10),(14,8),(13,15),(2,14),(10,9),(6,15),(2,13),(11,7),(6,13),(10,8),(8,9),(2,1),(1,1),(13,14),(15,1),(5,10),(3,4),(10,12),(13,2),(11,15),(1,14),(13,7),(2,3),(9,2),(1,14),(13,1),(8,14),(4,0),(6,7),(4,10),(4,7),(5,8),(13,9),(10,9),(5,0),(3,14),(3,9),(5,12),(0,9),(11,6),(0,11),(15,4),(1,11),(9,8),(5,4),(8,12),(6,15),(15,0),(10,15),(4,0),(5,8),(5,12),(0,13),(4,15),(2,6),(14,13),(5,3),(1,15),(1,0),(6,8),(11,6),(9,4),(14,13),(13,12),(0,5),(8,14),(9,3),(0,13),(6,9),(8,15),(4,11),(2,0),(9,10),(3,7),(2,6),(9,1),(15,4),(0,9),(10,15),(3,8),(4,9),(7,10),(8,7),(1,8),(15,13),(9,10),(5,3),(5,3),(14,12),(7,8),(3,6),(12,15)]"
